Taxon,Group
Abudefduf abdominalis,5
Abudefduf sordidus,2
Abudefduf vaigiensis,4
Acanthurus blochii,3
Acanthurus nigroris,2
Acanthurus sp1,2
Acanthurus triostegus,3
Acanthurus xanthopterus,3
Aulostomus chinensis,1
Bodianus albotaeniatus,1
Calotomus carolinus,2
Canthigaster jactator,1
Caranx melampygus,2
Centropyge potteri,1
Cephalopholis argus,3
Chaetodon auriga,2
Chaetodon ephippium,2
Chaetodon lineolatus,2
Chaetodon lunula,2
Chaetodon lunulatus,2
Chaetodon miliaris,3
Chaetodon unimaculatus,3
Chlorurus perspicillatus,2
Chlorurus spilurus,3
Ctenochaetus strigosus,1
Dascyllus albisella,3
Diodon hystrix,1
Gomphosus varius,1
Labroides phthirophagus,1
Lutjanus fulvus,2
Monacanthidae sp1,1
Mulloidichthys flavolineatus,1
Mulloidichthys vanicolensis,4
Naso brevirostris,3
Neoniphon sammara,1
Oxycheilinus unifasciatus,1
Parupeneus insularis,1
Parupeneus multifasciatus,3
Plectroglyphidodon marginatus,1
Plectroglyphidodon sp,1
Sargocentron xantherythrum,1
Scarid sp1,3
Scarini,3
Scarus psittacus,3
Scomberoides lysan,2
Stethojulis balteata,2
Thalassoma duperrey,3
Thalassoma purpureum,1
Thalassoma sp,1
Thalassoma trilobatum,2
Tylosurus crocodilus,2
Zanclus cornutus,2
Zebrasoma flavescens,2
Zebrasoma velifer,2